                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.2381,                  4.066,                 1.7336,                0.83337,                0.29141,                0.34824,                0.19534,                 1.4565,                 1.7374,                 1.4032,                 0.0847,                 0.0017,                 0.0017
                      1,                 1.4487,                 1.5978,                 1.2488,                0.88353,                0.41718,                0.49835,                0.33158,                   1.11,                0.91439,                 1.1285,               0.068465,              0.0034654,              0.0034654
                      2,                 1.3327,                 1.1476,                 1.1305,                0.71658,                0.81646,                0.81739,                 0.5847,                 1.1939,                0.76755,                  1.128,               0.052195,              0.0051951,              0.0051951
                      3,                 1.1896,                  1.132,                 1.0681,                0.70508,                 0.9425,                0.92246,                0.72313,                0.97693,                 1.0309,                 1.0129,               0.035889,              0.0068891,              0.0068891
                      4,                 1.1313,                 1.2045,                 1.0373,                0.68552,                0.88247,                0.80394,                0.61465,                0.99947,                0.75608,                 1.0005,               0.019548,              0.0085476,              0.0085476
                      5,                 1.0927,                 1.1279,                 1.0109,                0.82706,                0.85005,                0.92065,                0.66777,                 1.0852,                 2.2856,                 1.0342,               0.009505,               0.009505,               0.009505
                      6,                 1.1239,                 1.0468,                  1.013,                0.80172,                0.82026,                0.87786,                0.65872,                 1.1693,                 1.2574,                 1.0462,               0.009505,               0.009505,               0.009505
                      7,                 1.1531,                0.73916,                 1.0464,                0.86663,                0.85746,                0.94578,                 0.7569,                0.97107,                0.81465,                 1.0264,               0.009406,               0.009406,               0.009406
                      8,                 1.0498,                0.79892,                 1.0105,                0.71309,                0.85593,                0.84942,                 0.6347,                  0.959,                0.92358,                 1.0246,               0.009307,               0.009307,               0.009307
                      9,                0.99533,                0.70083,                0.98595,                0.85631,                0.85482,                0.95069,                0.74706,                0.94483,                0.63292,                0.99966,               0.009208,               0.009208,               0.009208
                     10,                0.98747,                 0.7135,                0.97805,                0.76988,                0.88045,                0.89014,                0.67235,                0.95936,                 0.5837,                 1.0037,               0.009109,               0.009109,               0.009109
                     11,                 1.0235,                0.67549,                0.99254,                0.84551,                 0.9544,                0.94302,                0.70083,                0.95248,                0.64697,                 1.0385,                0.00901,                0.00901,                0.00901
                     12,                0.96739,                0.65648,                0.98706,                0.88513,                 0.8494,                0.92297,                0.72369,                0.92865,                0.67982,                 1.0181,               0.008911,               0.008911,               0.008911
                     13,                0.96302,                0.61011,                0.98386,                0.83686,                0.97822,                0.94408,                0.70925,                0.90248,                0.56173,                 1.0148,               0.008812,               0.008812,               0.008812
                     14,                0.93611,                0.60744,                0.98304,                0.80901,                 0.8954,                0.93956,                0.68199,                0.92895,                0.61226,                 1.0333,               0.008713,               0.008713,               0.008713
                     15,                0.94096,                0.59633,                0.97325,                0.95352,                0.86844,                0.95165,                0.70442,                0.97599,                0.58148,                 1.0282,               0.008614,               0.008614,               0.008614
                     16,                0.92487,                0.57681,                0.97237,                0.93395,                 0.9551,                 0.9823,                0.75294,                0.91027,                0.60786,                 1.0175,               0.008515,               0.008515,               0.008515
                     17,                0.92094,                0.58559,                0.97333,                0.93945,                0.88006,                 0.9566,                0.71641,                0.91347,                0.57167,                 1.0118,               0.008416,               0.008416,               0.008416
                     18,                0.90489,                0.56558,                0.95945,                 0.8044,                0.87546,                0.92223,                0.71495,                0.91211,                0.56893,                 1.0126,               0.008317,               0.008317,               0.008317
                     19,                0.88598,                0.57737,                0.96212,                 0.8827,                0.95618,                0.97734,                0.77109,                 0.8605,                0.49445,                0.99052,               0.008218,               0.008218,               0.008218
                     20,                0.88856,                0.55445,                0.95878,                0.85627,                0.93853,                0.95784,                0.74557,                0.88346,                0.52402,                 1.0029,               0.008119,               0.008119,               0.008119
                     21,                0.89158,                0.53064,                0.95525,                0.96447,                0.83992,                0.95926,                0.73583,                0.91347,                0.51453,                 1.0232,                0.00802,                0.00802,                0.00802
                     22,                0.86578,                0.52099,                 0.9389,                 0.8173,                0.87204,                 0.9156,                0.70407,                0.91811,                0.56061,                 1.0125,               0.007921,               0.007921,               0.007921
                     23,                0.83505,                0.52031,                0.95002,                0.86329,                0.92904,                0.90457,                0.67832,                0.83961,                0.51059,                0.98383,               0.007822,               0.007822,               0.007822
                     24,                0.83332,                0.52543,                0.93706,                0.90218,                0.93161,                 0.9297,                0.72285,                0.85491,                0.52184,                 1.0012,               0.007723,               0.007723,               0.007723
                     25,                0.83049,                0.52717,                0.93209,                0.95184,                0.88135,                0.96045,                0.75182,                0.85614,                0.51239,                0.99689,               0.007624,               0.007624,               0.007624
                     26,                0.84621,                0.50319,                0.95323,                0.93264,                0.97967,                 0.9853,                0.77212,                0.80775,                 0.4853,                0.97154,               0.007525,               0.007525,               0.007525
                     27,                0.83126,                0.49585,                0.94424,                0.92015,                0.92202,                0.96392,                0.79516,                0.84514,                0.48685,                0.99555,               0.007426,               0.007426,               0.007426
                     28,                0.80257,                0.49786,                0.93159,                0.96292,                0.89976,                0.96634,                0.73891,                0.84743,                0.49035,                0.99067,               0.007327,               0.007327,               0.007327
                     29,                 0.8139,                0.49096,                0.94319,                0.94922,                0.81741,                0.90105,                0.72313,                 0.8338,                0.49855,                0.99327,               0.007228,               0.007228,               0.007228
                     30,                 0.7924,                0.49289,                0.92507,                0.87374,                0.98841,                0.96926,                0.79088,                0.81007,                0.45649,                0.97236,               0.007129,               0.007129,               0.007129
                     31,                0.78925,                0.48174,                 0.9132,                0.85821,                0.95746,                0.94458,                0.76274,                0.81133,                0.49642,                0.97821,                0.00703,                0.00703,                0.00703
                     32,                 0.7773,                 0.4932,                0.92759,                0.94231,                0.95362,                0.95733,                0.78943,                0.78254,                0.46953,                0.97166,               0.006931,               0.006931,               0.006931
                     33,                0.76127,                0.46669,                0.91367,                0.92503,                0.95565,                0.97816,                0.81205,                0.78407,                0.47344,                0.97299,               0.006832,               0.006832,               0.006832
                     34,                0.77952,                0.46895,                0.91599,                0.96767,                0.97816,                0.98655,                  0.787,                 0.8066,                0.44826,                0.98948,               0.006733,               0.006733,               0.006733
                     35,                0.77855,                 0.4721,                0.92819,                0.97798,                0.96313,                0.98832,                0.80737,                0.78618,                 0.4369,                0.96675,               0.006634,               0.006634,               0.006634
                     36,                0.74934,                0.45766,                0.90213,                0.97073,                0.95166,                0.98638,                0.76828,                0.80537,                0.46241,                0.97211,               0.006535,               0.006535,               0.006535
                     37,                0.75112,                0.46078,                0.91113,                0.88981,                0.92413,                0.96882,                0.77191,                0.77861,                0.48056,                0.96557,               0.006436,               0.006436,               0.006436
                     38,                0.73086,                0.45607,                0.91001,                0.95461,                0.91203,                0.97352,                0.80033,                0.74732,                0.45218,                0.95715,               0.006337,               0.006337,               0.006337
